品名,最低价,平均价,最高价,规格,单位,发布日期
纯腔骨,9.00,10.50,12.00,猪肉类,斤,2021-05-23
腔排骨,14.00,15.00,16.00,猪肉类,斤,2021-05-23
棒骨,10.00,10.50,11.00,猪肉类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
猪头,13.00,13.50,14.00,猪肉类,斤,2021-05-23
猪耳,26.00,26.00,26.00,猪肉类,斤,2021-05-23
猪肚,19.00,19.50,20.00,猪肉类,斤,2021-05-23
猪板油,11.00,11.50,12.00,猪肉类,斤,2021-05-23
肥膘肉,7.00,7.50,8.00,猪肉类,斤,2021-05-23
猪腰子,20.00,20.50,21.00,猪肉类,斤,2021-05-23
猪心,10.00,10.00,10.00,猪肉类,斤,2021-05-23
猪肝,9.50,9.75,10.00,猪肉类,斤,2021-05-23
猪皮,3.00,4.50,6.00,猪肉类,斤,2021-05-23
猪肠,21.00,21.50,22.00,猪肉类,斤,2021-05-23
整牛,34.25,34.25,34.25,牛肉类,斤,2021-05-23
牛前腱,37.00,37.00,37.00,牛肉类,斤,2021-05-23
牛后腱,37.00,37.00,37.00,牛肉类,斤,2021-05-23
牛前腿,35.00,35.00,35.00,牛肉类,斤,2021-05-23
牛后腿,35.00,35.00,35.00,牛肉类,斤,2021-05-23
牛柳（里脊）,37.00,37.50,38.00,牛肉类,斤,2021-05-23
精牛柳,41.00,42.00,43.00,牛肉类,斤,2021-05-23
牛腩,35.00,35.50,36.00,牛肉类,斤,2021-05-23
牛林,35.00,35.50,36.00,牛肉类,斤,2021-05-23
牛骨,4.50,4.75,5.00,牛肉类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
牛板筋,35.00,35.00,35.00,牛肉类,斤,2021-05-23
牛尾,33.00,34.00,35.00,牛肉类,斤,2021-05-23
牛上脑,35.00,35.00,35.00,牛肉类,斤,2021-05-23
整羊,28.00,28.50,29.00,羊肉类,斤,2021-05-23
去骨羊前腿,40.00,40.50,41.00,羊肉类,斤,2021-05-23
去骨羊后腿,41.00,41.50,42.00,羊肉类,斤,2021-05-23
羊腰窝,40.00,40.00,40.00,羊肉类,斤,2021-05-23
羊肉片,40.00,41.50,43.00,羊肉类,斤,2021-05-23
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-05-23
羊蝎子,16.00,16.50,17.00,羊肉类,斤,2021-05-23
羊蝎子（精品）,30.00,30.50,31.00,羊肉类,斤,2021-05-23
羊排骨,30.00,30.00,30.00,羊肉类,斤,2021-05-23
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-05-23
羊小腿（羊棒）,24.00,24.50,25.00,羊肉类,斤,2021-05-23
羊上脑,40.00,40.00,40.00,羊肉类,斤,2021-05-23
羊骨头,10.00,10.00,10.00,羊肉类,斤,2021-05-23
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-05-23
羊里脊,40.00,40.00,40.00,羊肉类,斤,2021-05-23
淘汰鸡（干净膛）,11.00,11.00,11.00,禽肉类,斤,2021-05-23
淘汰鸡（净膛）,10.00,10.00,10.00,禽肉类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
仔鸡（净膛）,7.50,7.50,7.50,禽肉类,斤,2021-05-23
肉鸡,6.50,6.50,6.50,禽肉类,斤,2021-05-23
鸡胸,7.50,7.50,7.50,禽肉类,斤,2021-05-23
大白菜,0.25,0.30,0.35,储存\新,斤,2021-05-22
娃娃菜,0.40,0.50,0.60,大\小,斤,2021-05-22
小白菜,0.40,0.55,0.70,普通,斤,2021-05-22
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-22
西芹,2.00,2.25,2.50,普通,斤,2021-05-22
菠菜,0.80,0.90,1.00,鲁\冀,斤,2021-05-22
莴笋,0.70,0.95,1.20,闽浙/鲁,斤,2021-05-22
团生菜,0.80,1.00,1.20,毛|净,斤,2021-05-22
圆白菜,0.35,0.45,0.55,\冀,斤,2021-05-22
紫甘蓝,1.00,1.10,1.20,闽云,斤,2021-05-22
散叶生菜,1.50,1.75,2.00,\京,斤,2021-05-22
油菜,0.80,1.10,1.40,鲁\京,斤,2021-05-22
香菜,1.00,1.25,1.50,鲁\冀,斤,2021-05-22
茴香,1.00,1.25,1.50,\冀,斤,2021-05-22
韭菜,0.80,0.90,1.00,普通,斤,2021-05-22
韭菜苔,3.00,3.60,4.20,普通,斤,2021-05-22
苦菊,1.00,1.25,1.50,辽,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
油麦菜,1.20,1.50,1.80,\京,斤,2021-05-22
散菜花,1.40,1.60,1.80,豫\苏,斤,2021-05-22
绿菜花,1.50,1.75,2.00,冀\ 苏陕,斤,2021-05-22
菜花,1.50,1.65,1.80,/云,斤,2021-05-22
绿豆芽,0.95,0.98,1.00,普通,斤,2021-05-22
黄豆芽,0.85,0.88,0.90,普通,斤,2021-05-22
紫菜苔,3.00,3.25,3.50,普通,斤,2021-05-22
番茄,1.00,1.35,1.70,川鲁蒙,斤,2021-05-22
番茄（精品）,1.70,1.95,2.20,\鲁新,斤,2021-05-22
樱西,4.00,4.50,5.00,小红,斤,2021-05-22
黄瓜,0.80,1.00,1.20,蒙辽袋\鲁,斤,2021-05-22
黄瓜(鲜干花),1.40,1.60,1.80,冀,斤,2021-05-22
小黄瓜,2.00,2.75,3.50,旱\荷兰,斤,2021-05-22
茄子,0.70,1.00,1.30,冀,斤,2021-05-22
长茄,0.80,1.00,1.20,辽,斤,2021-05-22
广茄,1.20,1.85,2.50,滇、冀,斤,2021-05-22
线茄,2.00,2.50,3.00,冀,斤,2021-05-22
吊冬瓜,0.55,0.65,0.75,琼,斤,2021-05-22
地冬瓜,0.45,0.48,0.50,桂,斤,2021-05-22
小毛冬瓜,0.60,0.90,1.20,冀\圆鲁新,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
架豆,2.50,2.75,3.00,普通,斤,2021-05-22
豆王,2.50,3.25,4.00,普通,斤,2021-05-22
扁豆,2.30,2.95,3.60,冀\鲁聊城,斤,2021-05-22
豇豆,2.80,3.40,4.00,桂\京冀,斤,2021-05-22
白不老,2.80,3.15,3.50,滇|鲁,斤,2021-05-22
锅里变架豆,1.50,1.75,2.00,普通,斤,2021-05-22
油豆,2.50,3.25,4.00,鲁,斤,2021-05-22
毛豆,3.00,3.25,3.50,普通,斤,2021-05-22
豌豆,1.00,1.15,1.30,普通,斤,2021-05-22
蚕豆,1.20,1.30,1.40,普通,斤,2021-05-22
荷兰豆,5.00,5.75,6.50,冀\云,斤,2021-05-22
玉米,1.50,1.70,1.90,\白,斤,2021-05-22
花生,4.50,5.00,5.50,广东\海南,斤,2021-05-22
苦瓜,1.80,1.90,2.00,鲁,斤,2021-05-22
丝瓜,1.40,1.50,1.60,豫\鲁,斤,2021-05-22
丝瓜,2.50,3.25,4.00,短,斤,2021-05-22
瓠子,1.80,2.15,2.50,普通,斤,2021-05-22
西葫芦,1.00,1.25,1.50,滇/鲁,斤,2021-05-22
佛手瓜,2.00,2.50,3.00,普通,斤,2021-05-22
金丝南瓜,0.70,0.85,1.00,琼,斤,2021-05-22
品名,最低价,平均价,最高价,规格,单位,发布日期
南北瓜,0.90,1.00,1.10,桂,斤,2021-05-22
尖椒,1.20,1.50,1.80,冀晋/鲁新,斤,2021-05-22
螺丝椒,2.00,2.20,2.40,普通,斤,2021-05-22
柿子椒,1.20,1.40,1.60,\鲁新,斤,2021-05-22
线椒,2.50,2.75,3.00,\鲁琼新,斤,2021-05-22
杭椒,2.00,2.50,3.00,普通,斤,2021-05-22
小米椒,3.00,4.00,5.00,滇,斤,2021-05-22
彩椒,4.50,5.00,5.50,红\黄,斤,2021-05-22
白萝卜,0.30,0.40,0.50,\冀,斤,2021-05-22
心里美,1.50,2.00,2.50,冀/新,斤,2021-05-22
卞萝卜,0.40,0.60,0.80,冀,斤,2021-05-22
青萝卜,1.00,1.15,1.30,冀\鲁新,斤,2021-05-22
胡萝卜,0.80,0.95,1.10,冀/鲁新,斤,2021-05-22
胡萝卜（洗）,0.80,1.00,1.20,冀/闽箱,斤,2021-05-22
小水萝卜,0.80,0.90,1.00,普通,斤,2021-05-22
